Decile ID,Decile,Good ID,Good,Expenditures,Expenditures -- margin of error,Share,Share of margin of error,Calculated population size,Average number of persons,Average number of consumer units
,,r061,berries,150,90,..,..,308060,1.1,1.06
,,r062,preserved fruit and fruit based products,..,..,..,..,308060,1.1,1.06
,,r063,others fruit and berries,..,..,..,..,308060,1.1,1.06
,,r064,vegetables,1850,390,1.6,0.4,308060,1.1,1.06
,,r065,leaf and stem vegetables,230,90,0.2,0.1,308060,1.1,1.06
,,r066,cabbages -- fresh,60,30,..,..,308060,1.1,1.06
,,r067,vegetables cultivated for their fruit -- fresh ,640,200,0.5,0.2,308060,1.1,1.06
,,r068,onion -- leek -- fresh,110,40,..,..,308060,1.1,1.06
,,r069,mashrooms -- fresh,..,..,..,..,308060,1.1,1.06
,,r070,soups -- vegetabledishes,260,130,0.3,0.2,308060,1.1,1.06
,,r071,root crops,110,40,..,..,308060,1.1,1.06
,,r072,potatoes,140,60,..,..,308060,1.1,1.06
,,r073,products of potatoes (french fries -- mashed potatoes),260,120,0.2,0.1,308060,1.1,1.06
,,r074,vegetables - unspecified,..,..,..,..,308060,1.1,1.06
,,r075,sugar and sweets,1450,290,1.2,0.3,308060,1.1,1.06
,,r076,sugar -- jam -- honey -- chocolate and confectionery,110,60,..,..,308060,1.1,1.06
,,r077,jams -- marmelade,40,30,..,..,308060,1.1,1.06
,,r078,ice cream,230,100,0.2,0.1,308060,1.1,1.06
,,r079,other suger products,1070,240,0.9,0.2,308060,1.1,1.06
,,r080,sauces -- condiments,330,100,0.3,0.1,308060,1.1,1.06
,,r081,salt -- spices and culinary herbs,120,70,..,..,308060,1.1,1.06
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,160,110,..,..,308060,1.1,1.06
,,r083,snacks,190,80,0.2,0.1,308060,1.1,1.06
,,r084,unspec provisions,..,..,..,..,308060,1.1,1.06
,,r085,non alcoholic beverages,1660,360,1.5,0.4,308060,1.1,1.06
,,r086,fruit- and vegetable juices,300,110,0.3,0.1,308060,1.1,1.06
,,r087,soft drinks,720,200,0.6,0.2,308060,1.1,1.06
,,r088,mineral or spring waters,130,70,..,..,308060,1.1,1.06
,,r089,coffee,350,150,0.3,0.1,308060,1.1,1.06
,,r090,tee,..,..,..,..,308060,1.1,1.06
,,r091,cacao,..,..,..,..,308060,1.1,1.06
,,r092,dinner out,4230,1210,3.4,1.1,308060,1.1,1.06
,,r093,alcoholic beverages (with low-strength beer),2000,960,1.4,0.5,308060,1.1,1.06
,,r094,tobacco ,1060,550,1.0,0.6,308060,1.1,1.06
,,r095,consumer goods,2830,1130,2.0,0.6,308060,1.1,1.06
,,r096,personal hygiene,1890,1050,1.3,0.6,308060,1.1,1.06
,,r097,other consumption purposes,940,320,0.7,0.2,308060,1.1,1.06
,,r098,domestic services,2230,850,1.8,0.7,308060,1.1,1.06
,,r099,childminding,..,..,..,..,308060,1.1,1.06
,,r100,charge of skill -- other insurance,680,280,0.7,0.3,308060,1.1,1.06
,,r101,other services,1540,860,1.2,0.7,308060,1.1,1.06
,,r102,clothing and footwear,5470,3050,3.6,1.8,308060,1.1,1.06
,,r103,clothing,4120,2800,2.8,1.6,308060,1.1,1.06
,,r104, outdoor clothes,..,..,..,..,308060,1.1,1.06
,,r105,other clothes,2870,2170,1.9,1.3,308060,1.1,1.06
,,r106,underwear,770,510,0.6,0.4,308060,1.1,1.06
,,r107,accessoarer -- hats -- caps -- gloves etc.,..,..,..,..,308060,1.1,1.06
,,r108,footwear,..,..,..,..,308060,1.1,1.06
,,r109,housing,44100,3950,38.2,3.5,308060,1.1,1.06
,,r110,actual rentals for housing (incl. garage),33510,4340,30.5,4.4,308060,1.1,1.06
,,r111,reparations,810,660,0.6,0.5,308060,1.1,1.06
,,r112,householder´s comprehensive insurance,1080,270,0.9,0.2,308060,1.1,1.06
,,r113,services associates with housing ,1440,890,1.1,0.7,308060,1.1,1.06
,,r114,electicity -- gas and other fuels ,3670,1450,2.8,1.0,308060,1.1,1.06
,,r115,interests (gross),2430,1570,1.5,1.1,308060,1.1,1.06
,,r116,furnishings -- household equipment and routine maintenance of the house,4110,1460,3.0,0.9,308060,1.1,1.06
,,r117,furniture and furnishings -- carpets and other floor coverings,1940,1150,1.3,0.7,308060,1.1,1.06
,,r118,textile,250,240,..,..,308060,1.1,1.06
,,r119,household applience,1910,830,1.5,0.6,308060,1.1,1.06
,,r120,health and hospital services,3730,3330,2.3,1.7,308060,1.1,1.06
,,r121,transport,14080,4920,9.4,2.5,308060,1.1,1.06
,,r122,purchase of new motor-cars,..,..,..,..,308060,1.1,1.06
,,r123,purchase of other vehicles,..,..,..,..,308060,1.1,1.06
,,r124,operation of motor-cars,5670,2170,3.9,1.5,308060,1.1,1.06
,,r125,interests (motorcars - gross) -- licence duty,510,240,0.4,0.2,308060,1.1,1.06
,,r126,operation of other vehicles,..,..,..,..,308060,1.1,1.06
,,r127,interests (other vehicles - gross) -- licence duty (other vehicles),..,..,..,..,308060,1.1,1.06
,,r128,services of transport,3990,1730,3.1,1.1,308060,1.1,1.06
,,r129,leisure time and culture,24810,5250,18.1,2.6,308060,1.1,1.06
,,r130,weekend cottage,..,..,..,..,308060,1.1,1.06
,,r131,radio and tv,1050,510,0.8,0.4,308060,1.1,1.06
,,r132,sport and hobby,2530,1590,1.7,1.1,308060,1.1,1.06
,,r133,watch -- camera -- photographic and cinematographic equipment,..,..,0.8,0.5,308060,1.1,1.06
,,r134,holidays -- hotels,5840,2260,3.9,1.4,308060,1.1,1.06
,,r135,other spare time,2800,1090,2.2,0.8,308060,1.1,1.06
,,r136,entertainment,950,800,0.6,0.4,308060,1.1,1.06
,,r137,books -- newspapers -- television taxes,5880,1970,4.5,1.3,308060,1.1,1.06
,,r138,mobiltelephone (callcharge and subscription fee),1690,530,1.5,0.6,308060,1.1,1.06
,,r139,telephone (callcharge and subscription fee),2180,370,1.8,0.3,308060,1.1,1.06
D2,decil 2,r001,total expenditures,142980,15590,100.0,0.0,386820,1.1,1.07
,,r002,food,17800,2670,13.8,1.8,386820,1.1,1.07
,,r003,bread and cereals,2920,380,2.4,0.4,386820,1.1,1.07
,,r004,rice and products of rice -- of which:,150,60,..,..,386820,1.1,1.07
,,r005,rice,40,30,..,..,386820,1.1,1.07
,,r006,products of rice,110,60,..,..,386820,1.1,1.07
,,r007,pasta products,320,130,0.2,0.1,386820,1.1,1.07
,,r008,flour -- grain,340,110,0.2,0.1,386820,1.1,1.07
,,r009,bread -- of which:,1180,170,1.1,0.3,386820,1.1,1.07
,,r010,hard bread,240,70,0.2,0.1,386820,1.1,1.07
,,r011,soft white bread,210,70,0.2,0.1,386820,1.1,1.07
,,r012,soft brown bread,230,70,0.2,0.1,386820,1.1,1.07
,,r013,soft light bread,270,80,0.2,0.1,386820,1.1,1.07
,,r014,bread unspecified,240,90,0.2,0.1,386820,1.1,1.07
,,r015,pastry-cook products,910,200,0.7,0.1,386820,1.1,1.07
,,r016,meat,4090,1570,2.8,0.7,386820,1.1,1.07
,,r017,fresh -- chilled or frozen meat of bovine animals,340,200,0.2,0.1,386820,1.1,1.07
,,r018,fresh -- chilled or frozen meat of pig,1190,1170,0.7,0.5,386820,1.1,1.07
,,r019,fresh -- chilled or frozen meat of sheep and goat,..,..,..,..,386820,1.1,1.07
,,r020,fresh -- chilled or frozen meat of poultry,320,200,0.2,0.1,386820,1.1,1.07
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,386820,1.1,1.07
,,r022,dried -- salted or smoked meat of pig,550,170,0.4,0.1,386820,1.1,1.07
,,r023,dried -- salted or smoked other meats,90,80,..,..,386820,1.1,1.07
,,r024,meat -- sausages and meat of sandwiches,880,690,0.6,0.3,386820,1.1,1.07
,,r025,pastry -- cured meats and provisions,280,120,0.3,0.1,386820,1.1,1.07
,,r026,meatdishes,310,150,0.2,0.1,386820,1.1,1.07
,,r027,meat - unspecified,110,50,..,..,386820,1.1,1.07
,,r028,fish,830,190,0.7,0.2,386820,1.1,1.07
,,r029,fresh -- chilled or frozen fish -- of which:,280,110,0.2,0.1,386820,1.1,1.07
,,r030,codfish,100,60,..,..,386820,1.1,1.07
,,r031,salomonfish,70,60,..,..,386820,1.1,1.07
,,r032,herring,..,..,..,..,386820,1.1,1.07
,,r033,other fish,80,50,..,..,386820,1.1,1.07
,,r034,seafood,70,60,..,..,386820,1.1,1.07
,,r035,caviar -- roes -- other fishproducts,90,40,..,..,386820,1.1,1.07
,,r036,fish and seafood dishes,380,120,0.4,0.1,386820,1.1,1.07
,,r037,fish and seafood - unspecified,..,..,..,..,386820,1.1,1.07
,,r038,milk -- cheese and eggs,2850,440,2.4,0.4,386820,1.1,1.07
,,r039,milk (fat >=1 --5%),260,140,0.2,0.1,386820,1.1,1.07
,,r040,low fat milk (fat <1 --5%),480,110,0.4,0.1,386820,1.1,1.07
,,r041,preserved milk,..,..,..,..,386820,1.1,1.07
,,r042,yoghurt and sour milk,410,100,0.4,0.1,386820,1.1,1.07
,,r043,cream -- sour cream (fat>=29%),100,40,..,..,386820,1.1,1.07
,,r044,cream -- sour cream (fat<29%),160,50,..,..,386820,1.1,1.07
,,r045,cheese (fat >=17%),830,260,0.7,0.2,386820,1.1,1.07
,,r046,cheese (fat <17%),390,160,0.3,0.1,386820,1.1,1.07
,,r047,eggs,180,50,..,..,386820,1.1,1.07
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,386820,1.1,1.07
,,r049,oils and fats,500,100,0.5,0.1,386820,1.1,1.07
,,r050,butter,130,50,..,..,386820,1.1,1.07
,,r051,margarine (fat>=40%),180,70,0.2,0.1,386820,1.1,1.07
,,r052,margarine (fat<40%),90,40,..,..,386820,1.1,1.07
,,r053,olive oil -- cooking oil -- mayonnaise,100,50,..,..,386820,1.1,1.07
,,r054,fruit and berries,1610,370,1.2,0.3,386820,1.1,1.07
,,r055,apples,200,60,..,..,386820,1.1,1.07
,,r056,pears,110,50,..,..,386820,1.1,1.07
,,r057,bananas,290,70,0.2,0.1,386820,1.1,1.07
,,r058,citrus fruits,230,90,0.2,0.1,386820,1.1,1.07
,,r059,other fresh fruit,200,110,..,..,386820,1.1,1.07
,,r060,dried fruit,300,140,0.2,0.1,386820,1.1,1.07
,,r061,berries,160,80,..,..,386820,1.1,1.07
,,r062,preserved fruit and fruit based products,50,30,..,..,386820,1.1,1.07
,,r063,others fruit and berries,..,..,..,..,386820,1.1,1.07
,,r064,vegetables,1570,310,1.2,0.2,386820,1.1,1.07
,,r065,leaf and stem vegetables,120,40,..,..,386820,1.1,1.07
,,r066,cabbages -- fresh,100,40,..,..,386820,1.1,1.07
,,r067,vegetables cultivated for their fruit -- fresh ,480,120,0.4,0.1,386820,1.1,1.07
,,r068,onion -- leek -- fresh,80,30,..,..,386820,1.1,1.07
,,r069,mashrooms -- fresh,..,..,..,..,386820,1.1,1.07
,,r070,soups -- vegetabledishes,320,110,0.3,0.1,386820,1.1,1.07
,,r071,root crops,110,40,..,..,386820,1.1,1.07
,,r072,potatoes,180,50,0.2,0.1,386820,1.1,1.07
,,r073,products of potatoes (french fries -- mashed potatoes),150,70,..,..,386820,1.1,1.07
,,r074,vegetables - unspecified,..,..,..,..,386820,1.1,1.07
,,r075,sugar and sweets,1580,270,1.3,0.3,386820,1.1,1.07
,,r076,sugar -- jam -- honey -- chocolate and confectionery,190,70,..,..,386820,1.1,1.07
,,r077,jams -- marmelade,130,60,..,..,386820,1.1,1.07
,,r078,ice cream,260,90,0.3,0.1,386820,1.1,1.07
,,r079,other suger products,1010,210,0.8,0.2,386820,1.1,1.07
,,r080,sauces -- condiments,220,60,..,..,386820,1.1,1.07
,,r081,salt -- spices and culinary herbs,130,50,..,..,386820,1.1,1.07
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,170,70,0.2,0.1,386820,1.1,1.07
,,r083,snacks,120,50,..,..,386820,1.1,1.07
,,r084,unspec provisions,1200,1010,..,..,386820,1.1,1.07
,,r085,non alcoholic beverages,1460,300,1.1,0.2,386820,1.1,1.07
,,r086,fruit- and vegetable juices,200,70,..,..,386820,1.1,1.07
,,r087,soft drinks,600,230,0.5,0.2,386820,1.1,1.07
,,r088,mineral or spring waters,200,120,0.2,0.1,386820,1.1,1.07
,,r089,coffee,360,110,0.3,0.1,386820,1.1,1.07
,,r090,tee,100,50,..,..,386820,1.1,1.07
,,r091,cacao,..,..,..,..,386820,1.1,1.07
,,r092,dinner out,3880,1530,2.6,1.0,386820,1.1,1.07
,,r093,alcoholic beverages (with low-strength beer),1290,590,0.8,0.4,386820,1.1,1.07
,,r094,tobacco ,1930,820,1.3,0.5,386820,1.1,1.07
,,r095,consumer goods,2910,810,1.9,0.4,386820,1.1,1.07
,,r096,personal hygiene,1960,710,1.2,0.4,386820,1.1,1.07
,,r097,other consumption purposes,950,230,0.7,0.2,386820,1.1,1.07
,,r098,domestic services,3980,1200,2.8,1.0,386820,1.1,1.07
,,r099,childminding,..,..,..,..,386820,1.1,1.07
,,r100,charge of skill -- other insurance,1590,480,1.1,0.3,386820,1.1,1.07
,,r101,other services,2330,1110,1.7,1.0,386820,1.1,1.07
,,r102,clothing and footwear,5090,2130,3.1,1.1,386820,1.1,1.07
,,r103,clothing,4590,2090,2.7,1.0,386820,1.1,1.07
,,r104, outdoor clothes,920,580,0.6,0.3,386820,1.1,1.07
,,r105,other clothes,2520,1470,1.3,0.6,386820,1.1,1.07
,,r106,underwear,900,690,0.6,0.4,386820,1.1,1.07
,,r107,accessoarer -- hats -- caps -- gloves etc.,150,130,..,..,386820,1.1,1.07
,,r108,footwear,..,..,..,..,386820,1.1,1.07
,,r109,housing,47990,3420,38.2,3.2,386820,1.1,1.07
,,r110,actual rentals for housing (incl. garage),37130,4260,30.1,3.7,386820,1.1,1.07
,,r111,reparations,640,420,0.5,0.4,386820,1.1,1.07
,,r112,householder´s comprehensive insurance,1000,190,0.9,0.2,386820,1.1,1.07
,,r113,services associates with housing ,1040,540,0.8,0.4,386820,1.1,1.07
,,r114,electicity -- gas and other fuels ,4980,1200,3.7,0.8,386820,1.1,1.07
,,r115,interests (gross),2540,1410,1.7,1.0,386820,1.1,1.07
,,r116,furnishings -- household equipment and routine maintenance of the house,5260,1540,3.7,1.1,386820,1.1,1.07
,,r117,furniture and furnishings -- carpets and other floor coverings,2380,1140,1.3,0.5,386820,1.1,1.07
,,r118,textile,210,190,..,..,386820,1.1,1.07
,,r119,household applience,2680,1010,2.3,1.0,386820,1.1,1.07
,,r120,health and hospital services,4290,2400,3.0,1.6,386820,1.1,1.07
,,r121,transport,19730,6850,11.5,2.7,386820,1.1,1.07
,,r122,purchase of new motor-cars,3970,3880,2.2,1.8,386820,1.1,1.07
,,r123,purchase of other vehicles,..,..,..,..,386820,1.1,1.07
,,r124,operation of motor-cars,7930,2240,5.5,1.7,386820,1.1,1.07
,,r125,interests (motorcars - gross) -- licence duty,720,240,0.5,0.2,386820,1.1,1.07
,,r126,operation of other vehicles,..,..,..,..,386820,1.1,1.07
,,r127,interests (other vehicles - gross) -- licence duty (other vehicles),..,..,..,..,386820,1.1,1.07
,,r128,services of transport,3800,1790,2.3,0.9,386820,1.1,1.07
,,r129,leisure time and culture,24170,5610,15.5,2.1,386820,1.1,1.07
,,r130,weekend cottage,850,610,0.6,0.4,386820,1.1,1.07
,,r131,radio and tv,1450,770,0.8,0.4,386820,1.1,1.07
,,r132,sport and hobby,2220,1520,1.1,0.7,386820,1.1,1.07
,,r133,watch -- camera -- photographic and cinematographic equipment,380,240,0.2,0.1,386820,1.1,1.07
,,r134,holidays -- hotels,5240,3330,2.8,1.4,386820,1.1,1.07
,,r135,other spare time,4300,1710,2.7,0.8,386820,1.1,1.07
,,r136,entertainment,150,130,..,..,386820,1.1,1.07
,,r137,books -- newspapers -- television taxes,4860,850,3.7,0.6,386820,1.1,1.07
,,r138,mobiltelephone (callcharge and subscription fee),1660,660,1.1,0.5,386820,1.1,1.07
,,r139,telephone (callcharge and subscription fee),3060,500,2.4,0.4,386820,1.1,1.07
D3,decil 3,r001,total expenditures,188280,21510,100.0,0.0,403590,1.3,1.17
,,r002,food,20500,3340,12.7,2.1,403590,1.3,1.17
,,r003,bread and cereals,3680,760,2.3,0.5,403590,1.3,1.17
,,r004,rice and products of rice -- of which:,130,50,..,..,403590,1.3,1.17
,,r005,rice,80,40,..,..,403590,1.3,1.17
,,r006,products of rice,60,30,..,..,403590,1.3,1.17
,,r007,pasta products,300,90,0.2,0.1,403590,1.3,1.17
,,r008,flour -- grain,520,200,0.3,0.1,403590,1.3,1.17
,,r009,bread -- of which:,1260,170,0.9,0.2,403590,1.3,1.17
,,r010,hard bread,230,70,..,..,403590,1.3,1.17
,,r011,soft white bread,240,70,..,..,403590,1.3,1.17
,,r012,soft brown bread,230,80,0.2,0.1,403590,1.3,1.17
,,r013,soft light bread,340,90,0.2,0.1,403590,1.3,1.17
,,r014,bread unspecified,220,70,..,..,403590,1.3,1.17
,,r015,pastry-cook products,1470,600,0.8,0.2,403590,1.3,1.17
,,r016,meat,3550,550,2.4,0.5,403590,1.3,1.17
,,r017,fresh -- chilled or frozen meat of bovine animals,510,200,0.3,0.1,403590,1.3,1.17
,,r018,fresh -- chilled or frozen meat of pig,700,210,0.4,0.1,403590,1.3,1.17
,,r019,fresh -- chilled or frozen meat of sheep and goat,40,30,..,..,403590,1.3,1.17
,,r020,fresh -- chilled or frozen meat of poultry,390,150,0.2,0.1,403590,1.3,1.17
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,403590,1.3,1.17
,,r022,dried -- salted or smoked meat of pig,600,180,0.4,0.2,403590,1.3,1.17
,,r023,dried -- salted or smoked other meats,210,100,..,..,403590,1.3,1.17
,,r024,meat -- sausages and meat of sandwiches,520,140,0.4,0.1,403590,1.3,1.17
,,r025,pastry -- cured meats and provisions,230,90,0.2,0.1,403590,1.3,1.17
,,r026,meatdishes,270,140,0.3,0.2,403590,1.3,1.17
,,r027,meat - unspecified,..,..,..,..,403590,1.3,1.17
,,r028,fish,1650,860,0.9,0.3,403590,1.3,1.17
,,r029,fresh -- chilled or frozen fish -- of which:,380,150,0.3,0.1,403590,1.3,1.17
,,r030,codfish,140,70,..,..,403590,1.3,1.17
,,r031,salomonfish,120,70,..,..,403590,1.3,1.17
,,r032,herring,..,..,..,..,403590,1.3,1.17
,,r033,other fish,..,..,..,..,403590,1.3,1.17
,,r034,seafood,250,140,..,..,403590,1.3,1.17
,,r035,caviar -- roes -- other fishproducts,110,80,..,..,403590,1.3,1.17
,,r036,fish and seafood dishes,910,840,0.4,0.3,403590,1.3,1.17
,,r037,fish and seafood - unspecified,..,..,..,..,403590,1.3,1.17
,,r038,milk -- cheese and eggs,3300,660,2.1,0.4,403590,1.3,1.17
,,r039,milk (fat >=1 --5%),250,70,0.2,0.1,403590,1.3,1.17
,,r040,low fat milk (fat <1 --5%),450,110,0.3,0.1,403590,1.3,1.17
,,r041,preserved milk,..,..,..,..,403590,1.3,1.17
,,r042,yoghurt and sour milk,650,140,0.5,0.2,403590,1.3,1.17
,,r043,cream -- sour cream (fat>=29%),200,70,..,..,403590,1.3,1.17
,,r044,cream -- sour cream (fat<29%),160,70,..,..,403590,1.3,1.17
,,r045,cheese (fat >=17%),850,270,0.6,0.2,403590,1.3,1.17
,,r046,cheese (fat <17%),410,190,0.2,0.1,403590,1.3,1.17
,,r047,eggs,340,100,0.2,0.1,403590,1.3,1.17
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,403590,1.3,1.17
,,r049,oils and fats,600,160,0.4,0.1,403590,1.3,1.17
,,r050,butter,260,100,0.2,0.1,403590,1.3,1.17
,,r051,margarine (fat>=40%),120,50,..,..,403590,1.3,1.17
,,r052,margarine (fat<40%),50,20,..,..,403590,1.3,1.17
,,r053,olive oil -- cooking oil -- mayonnaise,170,80,..,..,403590,1.3,1.17
,,r054,fruit and berries,1960,420,1.2,0.3,403590,1.3,1.17
,,r055,apples,270,90,0.2,0.1,403590,1.3,1.17
,,r056,pears,60,30,..,..,403590,1.3,1.17
,,r057,bananas,420,240,0.3,0.1,403590,1.3,1.17
,,r058,citrus fruits,320,90,0.2,0.1,403590,1.3,1.17
,,r059,other fresh fruit,210,100,..,..,403590,1.3,1.17
,,r060,dried fruit,280,130,..,..,403590,1.3,1.17
,,r061,berries,330,170,0.2,0.1,403590,1.3,1.17
,,r062,preserved fruit and fruit based products,40,20,..,..,403590,1.3,1.17
,,r063,others fruit and berries,40,20,..,..,403590,1.3,1.17
,,r064,vegetables,2420,700,1.4,0.4,403590,1.3,1.17
,,r065,leaf and stem vegetables,220,90,..,..,403590,1.3,1.17
,,r066,cabbages -- fresh,110,60,..,..,403590,1.3,1.17
,,r067,vegetables cultivated for their fruit -- fresh ,730,180,0.5,0.1,403590,1.3,1.17
,,r068,onion -- leek -- fresh,140,100,..,..,403590,1.3,1.17
,,r069,mashrooms -- fresh,40,30,..,..,403590,1.3,1.17
,,r070,soups -- vegetabledishes,530,210,0.3,0.1,403590,1.3,1.17
,,r071,root crops,110,40,..,..,403590,1.3,1.17
,,r072,potatoes,210,90,..,..,403590,1.3,1.17
,,r073,products of potatoes (french fries -- mashed potatoes),280,210,..,..,403590,1.3,1.17
,,r074,vegetables - unspecified,50,30,..,..,403590,1.3,1.17
,,r075,sugar and sweets,2080,400,1.3,0.3,403590,1.3,1.17
,,r076,sugar -- jam -- honey -- chocolate and confectionery,140,60,..,..,403590,1.3,1.17
,,r077,jams -- marmelade,120,40,..,..,403590,1.3,1.17
,,r078,ice cream,480,190,0.3,0.1,403590,1.3,1.17
,,r079,other suger products,1340,310,0.8,0.2,403590,1.3,1.17
,,r080,sauces -- condiments,350,160,0.2,0.1,403590,1.3,1.17
,,r081,salt -- spices and culinary herbs,190,70,..,..,403590,1.3,1.17
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,230,80,..,..,403590,1.3,1.17
,,r083,snacks,220,80,..,..,403590,1.3,1.17
,,r084,unspec provisions,260,210,..,..,403590,1.3,1.17
,,r085,non alcoholic beverages,1680,290,1.0,0.2,403590,1.3,1.17
,,r086,fruit- and vegetable juices,280,110,0.2,0.1,403590,1.3,1.17
,,r087,soft drinks,560,140,0.4,0.1,403590,1.3,1.17
,,r088,mineral or spring waters,100,40,..,..,403590,1.3,1.17
,,r089,coffee,530,150,0.3,0.1,403590,1.3,1.17
,,r090,tee,180,70,..,..,403590,1.3,1.17
,,r091,cacao,..,..,..,..,403590,1.3,1.17
,,r092,dinner out,8530,4920,4.0,1.4,403590,1.3,1.17
,,r093,alcoholic beverages (with low-strength beer),3160,2100,1.4,0.8,403590,1.3,1.17
,,r094,tobacco ,860,470,0.5,0.3,403590,1.3,1.17
,,r095,consumer goods,3810,840,2.3,0.5,403590,1.3,1.17
,,r096,personal hygiene,2290,660,1.3,0.4,403590,1.3,1.17
,,r097,other consumption purposes,1520,490,0.9,0.3,403590,1.3,1.17
,,r098,domestic services,9360,5270,4.5,1.8,403590,1.3,1.17
,,r099,childminding,..,..,..,..,403590,1.3,1.17
,,r100,charge of skill -- other insurance,2660,450,1.8,0.5,403590,1.3,1.17
,,r101,other services,6420,5210,2.5,1.7,403590,1.3,1.17
,,r102,clothing and footwear,8640,4800,4.0,1.6,403590,1.3,1.17
